ระยะเวลา เริ่มต้นปี มกราคม 2566 สิ้นสุดปี ธันวาคม 2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ปีฐาน (2566 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มุมมองข้อมูล Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
วันที่ดาวน์โหลดไฟล์ 17 กุมภาพันธ์ 2569 18:29:41น.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด,ม.ค. 2566,ก.พ. 2566,มี.ค. 2566,เม.ย. 2566,พ.ค. 2566,มิ.ย. 2566,ก.ค. 2566,ส.ค. 2566,ก.ย. 2566,ต.ค. 2566,พ.ย. 2566,ธ.ค. 2566,ม.ค. 2567,ก.พ. 2567,มี.ค. 2567,เม.ย. 2567,พ.ค. 2567,มิ.ย. 2567,ก.ค. 2567,ส.ค. 2567,ก.ย. 2567,ต.ค. 2567,พ.ย. 2567,ธ.ค. 2567,ม.ค. 2568,ก.พ. 2568,มี.ค. 2568,เม.ย. 2568,พ.ค. 2568,มิ.ย. 2568,ก.ค. 2568,ส.ค. 2568,ก.ย. 2568,ต.ค. 2568,พ.ย. 2568,ธ.ค. 2568,,,,
สมุทรปราการ,100,99.8,99.7,99.8,99.5,100.4,100.2,100.6,100.3,100.2,100,99.5,99.6,99.9,99.6,100.3,100.5,100.5,100.6,100.7,100.5,100.5,100.6,100.5,100.7,102,101.8,101.5,101.9,102.5,101.6,101.8,101.6,101.5,101.6,101.6,,,,
นนทบุรี,100.2,100.2,99.7,100.1,99.2,99.7,100.1,100.6,100.4,100.2,99.8,99.5,99.6,99.9,99.9,100.5,100.8,100.5,100.6,100.5,100.3,100,99.9,99.9,100.1,100.1,99.7,99.5,99.8,99.7,99.3,99.4,99.6,99,99.4,99.5,,,,
ปทุมธานี,100.8,100.1,100,99.9,99,100.1,100.1,100.6,100.4,99.9,99.9,99.4,99.3,99.8,99.9,100.8,101.2,101.2,101.5,101.7,101.5,101.5,101.4,101.3,101.4,101.3,101.1,100.8,100.9,100.8,100.6,100.7,100.5,100.4,100.4,100.5,,,,
พระนครศรีอยุธยา,100.4,100.2,99.8,100.1,99.2,100,100,100.6,100.3,100.2,100.1,99.5,99.5,99.7,100,101.2,101.6,101,101,101.4,101.6,101.4,101.1,101.1,101.2,101,101,100.8,100.9,100.8,100.4,100.6,100.7,100.4,100.7,100.6,,,,
อ่างทอง,99,99.2,99.9,101.8,101.4,102.1,101.3,101.7,98.9,98.2,98.3,98.3,98.3,98.8,98.9,99.7,100.3,99.7,99.6,99.6,99.5,99.7,100.1,100.8,101.6,101.8,101.9,101.8,102,103.2,102.9,102.8,104.4,104.8,105,105.2,,,,
ลพบุรี,100.9,100.5,100.3,100.4,99.2,99.8,99.8,100.4,100.2,99.9,99.6,99.3,99.3,99.4,99.4,100.4,101.3,100.7,101,100.7,100.6,100.7,100.4,100.3,100.3,100.4,100.1,99.8,99.9,99.8,99.5,99.4,99.2,99,99.1,99.1,,,,
สิงห์บุรี,100.4,100.3,99.9,100.3,99,100.1,100.3,100.7,100.3,99.7,99.6,99.2,99.2,99.6,99.6,100.6,101.3,100.6,100.9,100.7,100.5,100.5,100.4,100.4,100.5,100.5,100.4,99.9,100.2,100.2,99.9,99.8,99.6,99.5,99.7,99.8,,,,
ชัยนาท,99.9,99.9,99.8,100.1,99.5,100.9,100.8,100.7,100.2,100,99.5,98.7,98.8,99.2,99.6,100.5,101,100.7,100.6,100.6,100.3,100.1,100.2,99.9,100,99.9,99.8,99.5,99.7,99.8,99.7,99.8,99.4,99.3,99.3,99.5,,,,
สระบุรี,100.1,100.3,99.8,99.9,99.7,100.3,100.2,100.6,100,99.9,99.6,99.2,99.4,99.4,99.4,100.3,101.1,100.6,100.7,100.6,100.5,100.8,100.6,100.4,100.1,100.4,100.1,99.7,100.2,100.2,100.2,99.9,100.1,100,99.9,100,,,,
ชลบุรี,100,99.7,100.1,100.1,99.3,100.3,100.3,100.7,100.3,100.1,99.8,99.7,99.5,99.8,100,100.7,101,100.8,101.6,101.9,101.7,101.4,101.1,101.3,101.3,101.3,101.2,100.9,101.4,101.6,101.4,101.6,101.7,101.4,101.9,101.8,,,,
ระยอง,100.3,100.4,100.4,100.6,99.4,99.7,100,100.6,100.2,100,99.5,99.1,99.4,99.4,99.9,100.5,101.2,101.3,100.8,101,100.6,100.5,100.4,100.1,100.3,100.1,99.8,99.5,99.7,100.3,100,100.1,100.1,100.1,100.3,100.6,,,,
จันทบุรี,100.8,100.5,100.2,100.3,99.3,100.2,100,100.2,100,99.6,99.4,99.1,99,99.4,99.6,100.7,101,100.9,101,101.2,101,100.8,100.6,100.6,100.8,100.7,100.5,100.2,100.2,100,99.5,99.6,99.5,99.4,99.5,99.6,,,,
ตราด,100.1,100,100,100.7,100.1,100.4,99.9,100.1,100.1,99.9,99.7,99.3,99.3,99.5,99.5,100.7,101.1,101.3,101.2,101.2,101.1,100.8,100.7,100.8,100.7,100.8,100.7,100.4,100.6,100.3,100.4,100.4,100.2,100.1,100.1,100.2,,,,
ฉะเชิงเทรา,100.5,100.3,100,100.2,99.1,100,100.1,100.7,100.3,100,99.8,99.3,99.3,99.5,99.7,100.5,100.8,100.8,100.9,100.9,100.7,100.7,100.5,100.3,100.4,100.6,100.4,100.3,100.4,100.2,100,100.1,100,99.8,99.8,100,,,,
ปราจีนบุรี,100.7,100.4,100.1,100.1,99.1,100,100.1,100.3,100,99.9,99.6,99.3,99.3,99.5,99.6,100.5,101.2,100.9,100.9,101,100.7,100.7,100.5,100.2,100.2,100.2,100,99.7,99.9,100.1,100,99.8,99.9,99.7,99.6,99.7,,,,
นครนายก,100.9,100.9,100.4,100.2,99.4,99.9,100,100.4,99.9,99.6,99.6,99.1,99.2,99.6,99.5,100.1,100.4,100.5,100.1,99.7,99.6,101.4,101.2,101.1,101.2,101.2,100.9,100.5,100.9,101.1,101.1,101,100.8,100.9,101.1,101,,,,
สระแก้ว,100.5,100.5,99.8,100,99,99.9,99.9,100.5,99.9,99.8,100.2,100,99.9,100,99.9,100.8,101.4,101.3,101.3,101.1,101.3,101.3,101,100.6,100.4,100.3,100,99.8,99.9,99.9,99.6,99.5,99.7,99.8,99.7,99.7,,,,
นครราชสีมา,100.3,99.7,99.7,100.3,99.5,100.1,100,100.7,100.3,99.9,100.2,99.6,99.5,99.7,99.9,100.7,101.5,101.3,102,101.7,101.5,101.2,101,101,101.1,101.2,101,100.5,101,101.1,100.8,100.7,100.4,100.6,100.9,101.1,,,,
บุรีรัมย์,100.5,100.5,100,100.6,99.8,99.9,99.8,100.9,100.2,99.8,98.9,98.6,98.4,98.6,99,100.6,100.7,99.7,99.6,99.4,99.2,99.2,99,99,98.9,98.9,98.6,98.4,98.9,98.8,98.4,98.4,98.3,98.4,98.5,98.1,,,,
สุรินทร์,100,99.7,99.5,100.1,99.6,100.2,100.4,100.3,100,99.8,100.1,99.8,99.4,99.9,99.8,100.9,102.3,101.6,101.7,101.5,101.6,101.5,101,100.6,100.6,100.3,100.3,100,100.5,100.8,100.2,100.2,100,99.9,100.1,100.2,,,,
ศรีสะเกษ,100,99.5,99.3,99.7,100.3,100.5,100.7,100.6,100,100.1,100.1,99.4,99.2,99,98.9,100.6,101.8,101.4,101,101.3,101.6,101,100.7,99.8,99.8,99.8,99.5,99.4,99.7,100.3,100.2,99.7,99.6,99.9,99.9,99.7,,,,
อุบลราชธานี,100.3,99.9,100,100.1,99.4,100,100.1,100.8,100.4,100,99.6,99.1,99.1,99.2,99.2,100.3,100.9,100.7,100.7,100.5,100.4,100.5,100.4,100.4,100.2,100.1,99.8,99.7,100.7,100.8,100.6,100.5,100.5,100.4,100.4,100.4,,,,
ยโสธร,99.5,99.6,99.2,99.4,99.3,100,100.1,101.1,101.3,100.7,100.6,98.6,98.7,98.6,99,99.9,102.1,101.9,102.3,101.9,101.6,102.3,101.7,101.5,101.5,101.4,101.4,101.1,101.3,101.8,101.6,101.3,101.1,101.2,101.1,101.1,,,,
ชัยภูมิ,100.6,100.2,99.7,100,99.6,100.2,99.8,100.6,100.2,99.7,99.7,99.3,99.4,99.5,99.5,100.6,101.2,100.9,101,101,100.7,100.9,100.7,100.2,100.4,100.4,100.1,99.9,100.3,100.3,99.8,99.6,99.6,99.6,99.5,99.7,,,,
อำนาจเจริญ,100.2,99.8,99.8,100.4,99.9,100.2,99.8,100.7,100.3,100,99.4,99,99.1,99.2,99.4,100.4,101.5,101.7,101.7,101.9,102,102.5,102.1,101.9,102,101.9,101.7,101.8,102.2,102.5,102,101.5,101.4,101.5,101.1,100.9,,,,
บึงกาฬ,98.5,99.2,98.9,99.6,99.5,100.5,100.6,100.9,100.8,100.7,100.4,100.1,100.2,100.6,100.5,100.8,101.7,101.8,102.4,102,102.1,101.9,101.7,101.3,101.3,101.1,100.9,101.1,101.1,101.2,101.6,101.5,101.3,101,101.1,101.4,,,,
หนองบัวลำภู,99.9,99.8,99.6,100,99.3,99.8,100.3,100.8,100.5,100.2,100,99.7,99.6,99.7,99.6,100.1,100.7,100.9,100.9,100.9,100.8,100.9,100.9,100.8,100.9,100.8,100.8,100.4,100.2,100.3,100.5,100.5,100.3,100.1,100,100.1,,,,
ขอนแก่น,100.2,100,99.9,100.2,100.2,100.5,100.5,100.9,100.4,99.7,99.2,98.8,98.6,98.7,98.8,99.8,100.7,100.4,100.4,100.7,100.6,100.6,100.7,100.2,100.3,100,100.1,100.1,100.6,100.9,100.3,100.1,100.3,100.4,100.1,100.3,,,,
อุดรธานี,100.5,100.3,100,100.1,99.6,100,100,100.6,100,99.7,99.6,99.4,99.5,99.6,99.6,100.3,100.6,100.6,100.8,100.9,100.9,100.9,100.4,100,99.9,99.9,99.5,99.4,99.5,99.4,99.5,99.4,99.3,99,99.1,98.7,,,,
เลย,100.4,100,100,100.1,99.4,99.8,99.6,100.7,100.5,100.5,99.5,98.9,98.7,98.9,98.9,100,100.9,101.1,100.9,100.8,100.7,100.7,100.5,100.3,100.1,99.9,99.5,99.3,99.4,99.8,99.7,99.5,99.7,99.4,99.1,100,,,,
หนองคาย,100.3,100.3,99.6,99.5,99.7,99.9,100.3,100.8,100.1,100,99.9,99.4,99.3,99.6,99.7,100.7,101.5,101.5,101.4,101.7,101.8,101.5,101.1,100.6,100.6,100.6,100.4,100.3,100.2,100.7,100.5,100.3,100.2,100.1,100.1,100.3,,,,
มหาสารคาม,99.9,99.6,99.2,99.9,99.4,100.1,99.4,100.3,100.5,100.6,100.6,100.4,100.1,100.2,100.5,101.4,102.5,102.2,101.9,101.8,101.9,101.7,101.5,101,101.1,101.2,101.3,101.1,101.4,101.7,101.6,101.3,101.1,101.1,101.1,101,,,,
ร้อยเอ็ด,100.4,100.3,99.7,100.1,99.9,100.1,100,100.7,100.2,99.7,99.4,99,98.9,99.1,99.2,100.1,100.8,100.8,100.7,100.7,100.8,100.7,100.5,100.1,100.2,100.3,100.4,100.3,100.5,100.6,100.4,100.5,100.5,100.2,100.6,100.3,,,,
กาฬสินธุ์,100.4,99.7,99.6,99.7,99.7,100.4,99.8,101,100.4,100.3,100,99.4,99.4,99.3,99.1,100.9,102.3,102,101.4,101.5,102,101.9,101.4,100.9,101.2,101.4,101.2,101.1,101.1,101.4,100.9,100.8,100.8,100.7,100.5,101,,,,
สกลนคร,99,98.8,98.3,99.3,99.5,100.2,100.6,101,100.5,100.1,101,101.3,101.4,102.2,103.1,104.2,105.4,105.5,105.7,105.2,104.9,105.2,105.1,104.6,104.4,104.6,104.4,104.5,104.9,105.3,105.6,104.9,104.6,104.3,104,104.3,,,,
นครพนม,99.7,99.3,99.2,99.3,99.5,100.5,100,101.2,101.2,100.6,100.4,99.5,99.1,99.1,99.3,100.2,101.8,101.6,102.8,102.7,102.9,102.8,102.7,102.3,102.4,102.5,101.8,101.7,102,102.2,102.8,102.7,102.3,102.4,102.1,101.6,,,,
มุกดาหาร,100.5,100.3,100.2,100.1,99.5,99.9,99.9,100.4,99.8,100,99.7,99.3,99.2,99.4,99.5,100.6,101.7,101.1,101.3,100.8,100.9,100.9,100.9,100.6,100.6,100.6,100.6,100.4,100.5,100.7,100.4,100.5,100.4,99.9,100,100,,,,
เชียงใหม่,100.8,100.5,100.2,99.8,99.2,100.2,99.7,100.5,100.2,100,99.7,99.5,99.3,99.4,99.6,100.2,101,100.9,101,101,101.1,101.3,101,100.7,100.8,100.8,100.2,100.1,100.6,100.7,100.6,100.7,100.3,100.1,100.7,101,,,,
ลำพูน,100.2,100,99.9,99.9,99.6,100.5,100.1,100.3,100.5,100.4,99.6,99.2,99,99.5,99.5,100.2,100.9,101,101.1,101.6,102,102,101.3,100.7,101,100.9,100.9,100.3,100.5,101,100.8,100.9,100.7,100.6,100.6,100.8,,,,
ลำปาง,100.1,100.2,99.6,99.8,99.2,100.2,100.1,101,100.6,100.1,99.7,99.2,99.1,99.3,99.1,100,101.4,101.1,100.8,101,100.7,101.1,100.7,100.6,100.9,100.7,100.3,99.5,100.4,100.3,100.5,100.3,100.2,99.8,99.9,100.3,,,,
อุตรดิตถ์,100.9,100.5,100.2,100.3,99.8,100.2,99.8,100.1,99.9,99.8,99.3,98.8,98.8,98.8,99,100.1,100.8,100.6,100.7,100.7,100.5,100.7,100.6,100.4,100.4,100.2,100.2,100.1,100.5,100.6,100.2,100,100.1,99.9,100.1,100.1,,,,
แพร่,101.4,100.8,100.1,100,99.2,100.1,100,100.5,100.1,99.8,99.3,99,98.8,99.1,99.2,99.9,100.5,100.5,100.6,100.6,100.5,100.2,100,99.5,99.5,99.3,99,99.1,99.6,99.7,99.5,99.2,98.9,98.6,98.9,99.2,,,,
น่าน,100.2,99.8,99.3,99.3,99.1,99.6,99.5,100.7,101,100.8,100.5,99.7,99.3,99.4,99.4,99.8,100.5,101,101.1,101.2,101.5,101.7,101.3,100.5,100.5,100.8,100.1,100,100.4,100.6,100.6,100.6,100.3,99.9,99.9,99.8,,,,
พะเยา,100.5,100.3,100.1,99.7,98.2,99.3,99.1,100.9,101.1,100.5,100.5,99.9,99.9,100.3,100,100.7,102.1,102.4,102.6,102.7,102.6,102.5,102.5,102.2,102.3,102.4,102,101.8,102.2,102.4,102.4,102.6,102,102,102.2,102.1,,,,
เชียงราย,100.7,100.4,100.1,99.9,99.7,100.1,99.6,100.2,99.9,100,99.8,99.4,99.4,99.7,99.8,100.6,101.9,101.9,101.9,102.7,102.6,102.6,101.5,100.7,100.6,100.7,100.5,100.7,101.6,101.7,101.6,101.8,101.5,100.6,101,101.7,,,,
แม่ฮ่องสอน,100.3,100.5,100,100.4,99.5,99.7,99.8,100.5,100.3,99.9,99.6,99.6,99.7,99.7,99.2,99.6,100.3,100.4,100.3,100.3,100.3,100.6,100.4,100,100.1,100,99.7,99.6,99.8,99.6,99.6,99.4,99.1,99.1,99.4,100.3,,,,
นครสวรรค์,100.4,100.5,99.9,100.6,100.2,100.3,100,100.7,100,99.4,99.3,98.9,98.9,98.7,98.9,100.3,101.7,100.7,100.8,100.7,100.5,100.6,100.5,100.4,100.5,100.7,100.6,100.4,100.8,100.4,100.1,100.2,100,100.1,100.4,100.4,,,,
อุทัยธานี,100.8,100.3,99.9,100.3,100.1,100.3,100,100.6,99.9,99.4,99.3,99,98.9,99.4,99.4,100.9,101.3,100.8,100.8,100.8,100.4,100.2,99.8,99.6,99.8,99.7,99.9,100.2,100.4,100.1,100,99.9,100,99.9,100,100,,,,
กำแพงเพชร,100.4,99.9,99.4,100.3,100.1,100.5,100.2,100.4,99.9,100.1,99.9,99.4,99.4,99.4,99.4,100.7,101.7,101,101.1,101.2,100.8,100.8,100.6,100.2,100.7,100.8,100.9,100.8,101.1,101.1,100.2,99.9,100.1,99.8,100,100.2,,,,
ตาก,101.5,101.2,100,99.6,99.4,100.6,100.3,100.4,99.4,99.5,99.6,98.8,99.1,99.2,98.8,99.6,101.4,101.3,100.8,101,100.4,101.3,100.8,100.4,100.8,100.6,100.4,100.5,100.9,100.9,100.4,100.6,100.5,100.1,100.7,101.6,,,,
สุโขทัย,101.2,100.9,100.5,100.1,99.6,100.6,99.9,100.2,99.8,99.5,99.3,98.8,99.3,99.1,99.1,100.1,101,100.2,100.3,100.4,99.7,99.8,99.6,99.4,99.8,99.7,99.5,99.6,99.6,99.7,99.4,99.3,99.1,99,98.6,98.8,,,,
พิษณุโลก,100.7,100.5,99.8,100,99,100,100.1,100.6,100.3,99.9,99.7,99.2,99.3,99.4,100,100.9,101.6,101.8,101.8,102,101.9,101.9,101.8,101.7,101.7,101.8,101.4,101.3,101.5,101.4,101.2,101.3,101.3,101.1,101.4,101.4,,,,
พิจิตร,100.9,100.2,99.5,99.5,100.1,101,100.4,100.8,99.9,99.6,99.3,98.8,98.6,99.1,99.1,99.7,101.8,100.9,101.1,101.2,101.1,100.6,100.1,100.1,100.4,100.3,100.1,100.3,100.5,100.5,100.4,100.2,100.2,100.4,100.5,100.3,,,,
เพชรบูรณ์,100.7,100.4,100.1,100.4,100.3,100.6,99.8,100.3,99.7,99.4,99.3,99.2,99.3,99.7,99.6,100.5,102.1,101.1,101.3,101.3,100.6,100.4,100.4,100.2,100.5,100.5,100.2,100,100.5,100.7,100,100.2,99.7,99.8,99.9,100.8,,,,
ราชบุรี,100.8,100.6,100.1,100.3,99.3,99.8,99.9,100.5,100.2,99.9,99.5,99.2,99.4,99.5,99.4,100.3,100.9,100.7,100.8,101.5,101.5,101.4,101.1,101.2,101.2,101.3,100.9,100.9,101.3,101,100.6,100.5,100.6,100.2,100.7,100.7,,,,
กาญจนบุรี,100,100.4,99.7,100.2,99.4,100,99.8,100.8,100.4,99.9,99.8,99.5,99.7,99.9,100,100.8,101.6,101.1,101.1,101.7,101.7,101.5,101.3,100.9,100.9,101,100.8,100.6,100.4,100.2,99.8,99.8,99.9,99.8,100,100.1,,,,
สุพรรณบุรี,101,100.8,100.2,100.4,99.5,99.7,99.5,100.4,100,99.9,99.5,99,99,99.3,99.4,100.8,101.8,101,100.9,101.1,100.7,100.3,100.2,100,100.1,100,99.9,99.6,99.8,99.5,99.2,99.1,99.1,99.1,99.1,99.4,,,,
นครปฐม,100.3,99.9,100,100.4,99.4,100.2,100.2,100.6,100.5,99.8,99.6,99.4,99.5,99.9,99.8,100.7,101.2,101,101.8,102.2,101.5,101.5,101.3,101.5,101.6,101.6,101.7,101.2,101.4,100.9,100.4,100.2,100,100,99.9,100.5,,,,
สมุทรสาคร,100.8,100.6,100.2,100.1,99.3,99.9,100.2,100.5,99.9,99.6,99.6,99.3,99.5,99.7,99.7,100.7,100.9,100.5,100.7,100.8,100.7,100.8,100.6,100.7,101,100.5,100.4,100.2,100.3,100.1,100,99.8,99.8,99.8,100.1,100.1,,,,
สมุทรสงคราม,100.8,100.5,100,100.4,99.6,100.1,99.7,100.2,99.9,99.8,99.8,99.3,99.4,99.7,99.4,100.4,101,100.8,100.7,101.1,100.2,100.1,100,99.8,99.7,99.8,100,99.6,99.8,99.7,99.4,99,99.2,99.2,99.3,99.6,,,,
เพชรบุรี,100,100.2,99.9,100.1,99.2,100,100.1,100.8,100.5,100.2,100,99.5,99.5,99.9,99.8,100.7,101.1,100.7,100.8,100.8,100.5,100.5,100.6,100.4,100.5,100.2,100.2,100.2,100.6,100.6,100.3,100.1,100.1,100.3,100.2,100.3,,,,
ประจวบคีรีขันธ์,100.8,100.5,100.3,100.4,99.6,100,100,100.4,100,99.8,99.5,99.2,99.3,99.7,99.6,100.5,101.1,100.9,101,101.1,101.1,100.8,100.6,100.5,100.7,100.5,100.4,100.2,100.2,99.9,99.6,99.5,99.5,99.3,99.6,99.7,,,,
นครศรีธรรมราช,100.7,100.5,100.4,100.5,99.6,99.9,100.1,100.5,100.3,99.5,99.4,98.9,98.6,98.9,99,99.9,100.3,99.9,100.3,100.4,100.2,100,100.1,100.2,100.2,100.1,100.2,100.2,101.3,100.4,100.1,100.2,100.1,99.7,99.6,99.9,,,,
กระบี่,100.1,100.2,100.2,100.4,99.7,100.2,100.1,100.4,100.3,100,99.7,99.2,99.4,99.5,99.7,100.4,101,100.3,100.9,100.7,101,101.3,101.3,101.6,102.1,101.7,101.7,101.4,102,102,101.9,102.4,102,100.8,100.8,101.2,,,,
พังงา,101.1,100.6,100.6,100.6,99.2,99.9,100.1,100.5,100.2,99.6,99.2,98.7,98.8,99,98.9,99.5,99.8,99.8,100.2,100.1,100,100,99.8,99.9,99.9,100,99.7,99.4,99.5,99.5,99.2,99.3,99.5,99.6,100,100,,,,
ภูเก็ต,100.1,100.3,100.4,100.5,99.9,100.4,99.7,100.2,100.1,100.1,99.6,99.2,99.3,99.6,99.8,100.2,100.5,100.3,100.5,100.5,100.2,100.3,100.3,100.3,100.4,100.3,100.1,99.9,100.2,100.1,100,100.2,100.1,100,100.5,100.5,,,,
สุราษฎร์ธานี,100.3,100.2,99.8,100.2,99.2,100.1,100,100.5,100.3,100.2,99.8,99.4,99.4,99.4,99.3,100,100.4,100.2,100.2,100.2,100,100.1,100.2,100.2,100.2,100.2,100,99.6,100.3,100,100.1,100,99.9,99.7,99.8,99.7,,,,
ระนอง,100.7,100.7,100.7,100.9,100,100.2,100.3,100.2,99.9,99.3,99,98.4,98.7,99.1,99.1,99.8,100.3,100,100,100,99.9,99.9,99.9,99.9,100,100.2,100.1,100,100.1,100.5,100.4,100.5,100.4,99.9,100.2,100.2,,,,
ชุมพร,100.6,100.4,100,100.2,99.5,100.2,100.1,100.2,100.1,99.9,99.7,99.3,99.4,99.5,99.4,100.5,101.8,101.4,101.2,101.3,101.1,100.9,100.9,101.1,101.1,101,101,100.6,100.6,100.5,100.2,100.1,100.2,99.9,100,100.2,,,,
สงขลา,100.4,100,99.8,100.4,99.3,100,100,100.6,100.4,99.8,99.7,99.2,99.2,99.1,99.4,100.1,100.8,100.8,100.8,100.8,100.4,100.3,100.6,100.8,100.6,100.3,100,99.8,100.4,100.2,100.1,100.2,100,100,99.9,95.9,,,,
สตูล,99.9,100,100.1,100.2,99.7,100,100.1,100.7,100.4,100,99.5,99.2,99.2,99.6,99.7,100.5,101,100.8,100.9,101,101.1,101.1,101.9,101.7,101.7,101.7,101.2,101.5,101.6,101.7,101.1,101.4,101.3,101.3,101.2,100.7,,,,
ตรัง,100.3,100.5,100.4,100.6,99.8,100,100,100.3,100.3,100.1,99.4,99,99.1,99.4,99.5,100.5,100.8,100.3,100.5,100.6,100.6,100.7,100.9,100.9,101,101.7,101.5,101.1,101,100.8,100.5,100.6,100.8,100.8,101.2,101.5,,,,
พัทลุง,100.7,100.7,100,100.5,99.7,100,100.2,100.6,100.6,99.3,99.1,98.8,99,99.1,99.3,99.3,99.6,99.1,98.8,99.2,98.9,98.8,98.8,99.2,99.3,99.1,99.1,99.5,99.5,99.5,99,99.2,99.2,98.7,99,99.6,,,,
ปัตตานี,100.3,100.5,99.9,99.9,99.2,100,100.1,100.5,100.2,99.9,99.7,99.4,99.3,99.7,99.9,100.8,101.1,101.1,101.1,100.9,101,105,105.3,105.6,105.5,105.3,105.1,104.6,105.3,105.4,105.1,105.1,105.3,105.5,105.8,106.7,,,,
ยะลา,100.6,100.6,99.9,100.1,99.4,100.2,100.2,100.6,100.3,99.5,99.6,99.5,99.7,100,99.4,100.1,100.7,100.6,101.1,100.8,100.6,100.6,101.1,101.5,101.6,101.2,100.9,100.5,100.4,100.5,100.4,100.3,100.5,100.6,100.6,101,,,,
นราธิวาส,100.7,100.4,99.6,100.6,99.3,99.6,99.3,100,100.3,100.7,100.2,99,98.6,99.6,99.6,100.6,101.8,101.4,101.9,101.8,101.6,101,101,101.3,101.5,101.3,101.6,100.4,100.1,100,100.4,100.6,100.3,100,100.5,100.7,,,,