จังหวัด,เดือน,ปี,Price_Index
สมุทรปราการ,Jan,2566,100.0
นนทบุรี,Jan,2566,100.2
ปทุมธานี,Jan,2566,100.8
พระนครศรีอยุธยา,Jan,2566,100.4
อ่างทอง,Jan,2566,99.0
ลพบุรี,Jan,2566,100.9
สิงห์บุรี,Jan,2566,100.4
ชัยนาท,Jan,2566,99.9
สระบุรี,Jan,2566,100.1
ชลบุรี,Jan,2566,100.0
ระยอง,Jan,2566,100.3
จันทบุรี,Jan,2566,100.8
ตราด,Jan,2566,100.1
ฉะเชิงเทรา,Jan,2566,100.5
ปราจีนบุรี,Jan,2566,100.7
นครนายก,Jan,2566,100.9
สระแก้ว,Jan,2566,100.5
นครราชสีมา,Jan,2566,100.3
บุรีรัมย์,Jan,2566,100.5
สุรินทร์,Jan,2566,100.0
ศรีสะเกษ,Jan,2566,100.0
อุบลราชธานี,Jan,2566,100.3
ยโสธร,Jan,2566,99.5
ชัยภูมิ,Jan,2566,100.6
อำนาจเจริญ,Jan,2566,100.2
บึงกาฬ,Jan,2566,98.5
หนองบัวลำภู,Jan,2566,99.9
ขอนแก่น,Jan,2566,100.2
อุดรธานี,Jan,2566,100.5
เลย,Jan,2566,100.4
หนองคาย,Jan,2566,100.3
มหาสารคาม,Jan,2566,99.9
ร้อยเอ็ด,Jan,2566,100.4
กาฬสินธุ์,Jan,2566,100.4
สกลนคร,Jan,2566,99.0
นครพนม,Jan,2566,99.7
มุกดาหาร,Jan,2566,100.5
เชียงใหม่,Jan,2566,100.8
ลำพูน,Jan,2566,100.2
ลำปาง,Jan,2566,100.1
อุตรดิตถ์,Jan,2566,100.9
แพร่,Jan,2566,101.4
น่าน,Jan,2566,100.2
พะเยา,Jan,2566,100.5
เชียงราย,Jan,2566,100.7
แม่ฮ่องสอน,Jan,2566,100.3
นครสวรรค์,Jan,2566,100.4
อุทัยธานี,Jan,2566,100.8
กำแพงเพชร,Jan,2566,100.4
ตาก,Jan,2566,101.5
สุโขทัย,Jan,2566,101.2
พิษณุโลก,Jan,2566,100.7
พิจิตร,Jan,2566,100.9
เพชรบูรณ์,Jan,2566,100.7
ราชบุรี,Jan,2566,100.8
กาญจนบุรี,Jan,2566,100.0
สุพรรณบุรี,Jan,2566,101.0
นครปฐม,Jan,2566,100.3
สมุทรสาคร,Jan,2566,100.8
สมุทรสงคราม,Jan,2566,100.8
เพชรบุรี,Jan,2566,100.0
ประจวบคีรีขันธ์,Jan,2566,100.8
นครศรีธรรมราช,Jan,2566,100.7
กระบี่,Jan,2566,100.1
พังงา,Jan,2566,101.1
ภูเก็ต,Jan,2566,100.1
สุราษฎร์ธานี,Jan,2566,100.3
ระนอง,Jan,2566,100.7
ชุมพร,Jan,2566,100.6
สงขลา,Jan,2566,100.4
สตูล,Jan,2566,99.9
ตรัง,Jan,2566,100.3
พัทลุง,Jan,2566,100.7
ปัตตานี,Jan,2566,100.3
ยะลา,Jan,2566,100.6
นราธิวาส,Jan,2566,100.7
สมุทรปราการ,Feb,2566,99.8
นนทบุรี,Feb,2566,100.2
ปทุมธานี,Feb,2566,100.1
พระนครศรีอยุธยา,Feb,2566,100.2
อ่างทอง,Feb,2566,99.2
ลพบุรี,Feb,2566,100.5
สิงห์บุรี,Feb,2566,100.3
ชัยนาท,Feb,2566,99.9
สระบุรี,Feb,2566,100.3
ชลบุรี,Feb,2566,99.7
ระยอง,Feb,2566,100.4
จันทบุรี,Feb,2566,100.5
ตราด,Feb,2566,100.0
ฉะเชิงเทรา,Feb,2566,100.3
ปราจีนบุรี,Feb,2566,100.4
นครนายก,Feb,2566,100.9
สระแก้ว,Feb,2566,100.5
นครราชสีมา,Feb,2566,99.7
บุรีรัมย์,Feb,2566,100.5
สุรินทร์,Feb,2566,99.7
ศรีสะเกษ,Feb,2566,99.5
อุบลราชธานี,Feb,2566,99.9
ยโสธร,Feb,2566,99.6
ชัยภูมิ,Feb,2566,100.2
อำนาจเจริญ,Feb,2566,99.8
บึงกาฬ,Feb,2566,99.2
หนองบัวลำภู,Feb,2566,99.8
ขอนแก่น,Feb,2566,100.0
อุดรธานี,Feb,2566,100.3
เลย,Feb,2566,100.0
หนองคาย,Feb,2566,100.3
มหาสารคาม,Feb,2566,99.6
ร้อยเอ็ด,Feb,2566,100.3
กาฬสินธุ์,Feb,2566,99.7
สกลนคร,Feb,2566,98.8
นครพนม,Feb,2566,99.3
มุกดาหาร,Feb,2566,100.3
เชียงใหม่,Feb,2566,100.5
ลำพูน,Feb,2566,100.0
ลำปาง,Feb,2566,100.2
อุตรดิตถ์,Feb,2566,100.5
แพร่,Feb,2566,100.8
น่าน,Feb,2566,99.8
พะเยา,Feb,2566,100.3
เชียงราย,Feb,2566,100.4
แม่ฮ่องสอน,Feb,2566,100.5
นครสวรรค์,Feb,2566,100.5
อุทัยธานี,Feb,2566,100.3
กำแพงเพชร,Feb,2566,99.9
ตาก,Feb,2566,101.2
สุโขทัย,Feb,2566,100.9
พิษณุโลก,Feb,2566,100.5
พิจิตร,Feb,2566,100.2
เพชรบูรณ์,Feb,2566,100.4
ราชบุรี,Feb,2566,100.6
กาญจนบุรี,Feb,2566,100.4
สุพรรณบุรี,Feb,2566,100.8
นครปฐม,Feb,2566,99.9
สมุทรสาคร,Feb,2566,100.6
สมุทรสงคราม,Feb,2566,100.5
เพชรบุรี,Feb,2566,100.2
ประจวบคีรีขันธ์,Feb,2566,100.5
นครศรีธรรมราช,Feb,2566,100.5
กระบี่,Feb,2566,100.2
พังงา,Feb,2566,100.6
ภูเก็ต,Feb,2566,100.3
สุราษฎร์ธานี,Feb,2566,100.2
ระนอง,Feb,2566,100.7
ชุมพร,Feb,2566,100.4
สงขลา,Feb,2566,100.0
สตูล,Feb,2566,100.0
ตรัง,Feb,2566,100.5
พัทลุง,Feb,2566,100.7
ปัตตานี,Feb,2566,100.5
ยะลา,Feb,2566,100.6
นราธิวาส,Feb,2566,100.4
สมุทรปราการ,Mar,2566,99.7
นนทบุรี,Mar,2566,99.7
ปทุมธานี,Mar,2566,100.0
พระนครศรีอยุธยา,Mar,2566,99.8
อ่างทอง,Mar,2566,99.9
ลพบุรี,Mar,2566,100.3
สิงห์บุรี,Mar,2566,99.9
ชัยนาท,Mar,2566,99.8
สระบุรี,Mar,2566,99.8
ชลบุรี,Mar,2566,100.1
ระยอง,Mar,2566,100.4
จันทบุรี,Mar,2566,100.2
ตราด,Mar,2566,100.0
ฉะเชิงเทรา,Mar,2566,100.0
ปราจีนบุรี,Mar,2566,100.1
นครนายก,Mar,2566,100.4
สระแก้ว,Mar,2566,99.8
นครราชสีมา,Mar,2566,99.7
บุรีรัมย์,Mar,2566,100.0
สุรินทร์,Mar,2566,99.5
ศรีสะเกษ,Mar,2566,99.3
อุบลราชธานี,Mar,2566,100.0
ยโสธร,Mar,2566,99.2
ชัยภูมิ,Mar,2566,99.7
อำนาจเจริญ,Mar,2566,99.8
บึงกาฬ,Mar,2566,98.9
หนองบัวลำภู,Mar,2566,99.6
ขอนแก่น,Mar,2566,99.9
อุดรธานี,Mar,2566,100.0
เลย,Mar,2566,100.0
หนองคาย,Mar,2566,99.6
มหาสารคาม,Mar,2566,99.2
ร้อยเอ็ด,Mar,2566,99.7
กาฬสินธุ์,Mar,2566,99.6
สกลนคร,Mar,2566,98.3
นครพนม,Mar,2566,99.2
มุกดาหาร,Mar,2566,100.2
เชียงใหม่,Mar,2566,100.2
ลำพูน,Mar,2566,99.9
ลำปาง,Mar,2566,99.6
อุตรดิตถ์,Mar,2566,100.2
แพร่,Mar,2566,100.1
น่าน,Mar,2566,99.3
พะเยา,Mar,2566,100.1
เชียงราย,Mar,2566,100.1
แม่ฮ่องสอน,Mar,2566,100.0
นครสวรรค์,Mar,2566,99.9
อุทัยธานี,Mar,2566,99.9
กำแพงเพชร,Mar,2566,99.4
ตาก,Mar,2566,100.0
สุโขทัย,Mar,2566,100.5
พิษณุโลก,Mar,2566,99.8
พิจิตร,Mar,2566,99.5
เพชรบูรณ์,Mar,2566,100.1
ราชบุรี,Mar,2566,100.1
กาญจนบุรี,Mar,2566,99.7
สุพรรณบุรี,Mar,2566,100.2
นครปฐม,Mar,2566,100.0
สมุทรสาคร,Mar,2566,100.2
สมุทรสงคราม,Mar,2566,100.0
เพชรบุรี,Mar,2566,99.9
ประจวบคีรีขันธ์,Mar,2566,100.3
นครศรีธรรมราช,Mar,2566,100.4
กระบี่,Mar,2566,100.2
พังงา,Mar,2566,100.6
ภูเก็ต,Mar,2566,100.4
สุราษฎร์ธานี,Mar,2566,99.8
ระนอง,Mar,2566,100.7
ชุมพร,Mar,2566,100.0
สงขลา,Mar,2566,99.8
สตูล,Mar,2566,100.1
ตรัง,Mar,2566,100.4
พัทลุง,Mar,2566,100.0
ปัตตานี,Mar,2566,99.9
ยะลา,Mar,2566,99.9
นราธิวาส,Mar,2566,99.6
สมุทรปราการ,Apr,2566,99.8
นนทบุรี,Apr,2566,100.1
ปทุมธานี,Apr,2566,99.9
พระนครศรีอยุธยา,Apr,2566,100.1
อ่างทอง,Apr,2566,101.8
ลพบุรี,Apr,2566,100.4
สิงห์บุรี,Apr,2566,100.3
ชัยนาท,Apr,2566,100.1
สระบุรี,Apr,2566,99.9
ชลบุรี,Apr,2566,100.1
ระยอง,Apr,2566,100.6
จันทบุรี,Apr,2566,100.3
ตราด,Apr,2566,100.7
ฉะเชิงเทรา,Apr,2566,100.2
ปราจีนบุรี,Apr,2566,100.1
นครนายก,Apr,2566,100.2
สระแก้ว,Apr,2566,100.0
นครราชสีมา,Apr,2566,100.3
บุรีรัมย์,Apr,2566,100.6
สุรินทร์,Apr,2566,100.1
ศรีสะเกษ,Apr,2566,99.7
อุบลราชธานี,Apr,2566,100.1
ยโสธร,Apr,2566,99.4
ชัยภูมิ,Apr,2566,100.0
อำนาจเจริญ,Apr,2566,100.4
บึงกาฬ,Apr,2566,99.6
หนองบัวลำภู,Apr,2566,100.0
ขอนแก่น,Apr,2566,100.2
อุดรธานี,Apr,2566,100.1
เลย,Apr,2566,100.1
หนองคาย,Apr,2566,99.5
มหาสารคาม,Apr,2566,99.9
ร้อยเอ็ด,Apr,2566,100.1
กาฬสินธุ์,Apr,2566,99.7
สกลนคร,Apr,2566,99.3
นครพนม,Apr,2566,99.3
มุกดาหาร,Apr,2566,100.1
เชียงใหม่,Apr,2566,99.8
ลำพูน,Apr,2566,99.9
ลำปาง,Apr,2566,99.8
อุตรดิตถ์,Apr,2566,100.3
แพร่,Apr,2566,100.0
น่าน,Apr,2566,99.3
พะเยา,Apr,2566,99.7
เชียงราย,Apr,2566,99.9
แม่ฮ่องสอน,Apr,2566,100.4
นครสวรรค์,Apr,2566,100.6
อุทัยธานี,Apr,2566,100.3
กำแพงเพชร,Apr,2566,100.3
ตาก,Apr,2566,99.6
สุโขทัย,Apr,2566,100.1
พิษณุโลก,Apr,2566,100.0
พิจิตร,Apr,2566,99.5
เพชรบูรณ์,Apr,2566,100.4
ราชบุรี,Apr,2566,100.3
กาญจนบุรี,Apr,2566,100.2
สุพรรณบุรี,Apr,2566,100.4
นครปฐม,Apr,2566,100.4
สมุทรสาคร,Apr,2566,100.1
สมุทรสงคราม,Apr,2566,100.4
เพชรบุรี,Apr,2566,100.1
ประจวบคีรีขันธ์,Apr,2566,100.4
นครศรีธรรมราช,Apr,2566,100.5
กระบี่,Apr,2566,100.4
พังงา,Apr,2566,100.6
ภูเก็ต,Apr,2566,100.5
สุราษฎร์ธานี,Apr,2566,100.2
ระนอง,Apr,2566,100.9
ชุมพร,Apr,2566,100.2
สงขลา,Apr,2566,100.4
สตูล,Apr,2566,100.2
ตรัง,Apr,2566,100.6
พัทลุง,Apr,2566,100.5
ปัตตานี,Apr,2566,99.9
ยะลา,Apr,2566,100.1
นราธิวาส,Apr,2566,100.6
สมุทรปราการ,May,2566,99.5
นนทบุรี,May,2566,99.2
ปทุมธานี,May,2566,99.0
พระนครศรีอยุธยา,May,2566,99.2
อ่างทอง,May,2566,101.4
ลพบุรี,May,2566,99.2
สิงห์บุรี,May,2566,99.0
ชัยนาท,May,2566,99.5
สระบุรี,May,2566,99.7
ชลบุรี,May,2566,99.3
ระยอง,May,2566,99.4
จันทบุรี,May,2566,99.3
ตราด,May,2566,100.1
ฉะเชิงเทรา,May,2566,99.1
ปราจีนบุรี,May,2566,99.1
นครนายก,May,2566,99.4
สระแก้ว,May,2566,99.0
นครราชสีมา,May,2566,99.5
บุรีรัมย์,May,2566,99.8
สุรินทร์,May,2566,99.6
ศรีสะเกษ,May,2566,100.3
อุบลราชธานี,May,2566,99.4
ยโสธร,May,2566,99.3
ชัยภูมิ,May,2566,99.6
อำนาจเจริญ,May,2566,99.9
บึงกาฬ,May,2566,99.5
หนองบัวลำภู,May,2566,99.3
ขอนแก่น,May,2566,100.2
อุดรธานี,May,2566,99.6
เลย,May,2566,99.4
หนองคาย,May,2566,99.7
มหาสารคาม,May,2566,99.4
ร้อยเอ็ด,May,2566,99.9
กาฬสินธุ์,May,2566,99.7
สกลนคร,May,2566,99.5
นครพนม,May,2566,99.5
มุกดาหาร,May,2566,99.5
เชียงใหม่,May,2566,99.2
ลำพูน,May,2566,99.6
ลำปาง,May,2566,99.2
อุตรดิตถ์,May,2566,99.8
แพร่,May,2566,99.2
น่าน,May,2566,99.1
พะเยา,May,2566,98.2
เชียงราย,May,2566,99.7
แม่ฮ่องสอน,May,2566,99.5
นครสวรรค์,May,2566,100.2
อุทัยธานี,May,2566,100.1
กำแพงเพชร,May,2566,100.1
ตาก,May,2566,99.4
สุโขทัย,May,2566,99.6
พิษณุโลก,May,2566,99.0
พิจิตร,May,2566,100.1
เพชรบูรณ์,May,2566,100.3
ราชบุรี,May,2566,99.3
กาญจนบุรี,May,2566,99.4
สุพรรณบุรี,May,2566,99.5
นครปฐม,May,2566,99.4
สมุทรสาคร,May,2566,99.3
สมุทรสงคราม,May,2566,99.6
เพชรบุรี,May,2566,99.2
ประจวบคีรีขันธ์,May,2566,99.6
นครศรีธรรมราช,May,2566,99.6
กระบี่,May,2566,99.7
พังงา,May,2566,99.2
ภูเก็ต,May,2566,99.9
สุราษฎร์ธานี,May,2566,99.2
ระนอง,May,2566,100.0
ชุมพร,May,2566,99.5
สงขลา,May,2566,99.3
สตูล,May,2566,99.7
ตรัง,May,2566,99.8
พัทลุง,May,2566,99.7
ปัตตานี,May,2566,99.2
ยะลา,May,2566,99.4
นราธิวาส,May,2566,99.3
สมุทรปราการ,Jun,2566,100.4
นนทบุรี,Jun,2566,99.7
ปทุมธานี,Jun,2566,100.1
พระนครศรีอยุธยา,Jun,2566,100.0
อ่างทอง,Jun,2566,102.1
ลพบุรี,Jun,2566,99.8
สิงห์บุรี,Jun,2566,100.1
ชัยนาท,Jun,2566,100.9
สระบุรี,Jun,2566,100.3
ชลบุรี,Jun,2566,100.3
ระยอง,Jun,2566,99.7
จันทบุรี,Jun,2566,100.2
ตราด,Jun,2566,100.4
ฉะเชิงเทรา,Jun,2566,100.0
ปราจีนบุรี,Jun,2566,100.0
นครนายก,Jun,2566,99.9
สระแก้ว,Jun,2566,99.9
นครราชสีมา,Jun,2566,100.1
บุรีรัมย์,Jun,2566,99.9
สุรินทร์,Jun,2566,100.2
ศรีสะเกษ,Jun,2566,100.5
อุบลราชธานี,Jun,2566,100.0
ยโสธร,Jun,2566,100.0
ชัยภูมิ,Jun,2566,100.2
อำนาจเจริญ,Jun,2566,100.2
บึงกาฬ,Jun,2566,100.5
หนองบัวลำภู,Jun,2566,99.8
ขอนแก่น,Jun,2566,100.5
อุดรธานี,Jun,2566,100.0
เลย,Jun,2566,99.8
หนองคาย,Jun,2566,99.9
มหาสารคาม,Jun,2566,100.1
ร้อยเอ็ด,Jun,2566,100.1
กาฬสินธุ์,Jun,2566,100.4
สกลนคร,Jun,2566,100.2
นครพนม,Jun,2566,100.5
มุกดาหาร,Jun,2566,99.9
เชียงใหม่,Jun,2566,100.2
ลำพูน,Jun,2566,100.5
ลำปาง,Jun,2566,100.2
อุตรดิตถ์,Jun,2566,100.2
แพร่,Jun,2566,100.1
น่าน,Jun,2566,99.6
พะเยา,Jun,2566,99.3
เชียงราย,Jun,2566,100.1
แม่ฮ่องสอน,Jun,2566,99.7
นครสวรรค์,Jun,2566,100.3
อุทัยธานี,Jun,2566,100.3
กำแพงเพชร,Jun,2566,100.5
ตาก,Jun,2566,100.6
สุโขทัย,Jun,2566,100.6
พิษณุโลก,Jun,2566,100.0
พิจิตร,Jun,2566,101.0
เพชรบูรณ์,Jun,2566,100.6
ราชบุรี,Jun,2566,99.8
กาญจนบุรี,Jun,2566,100.0
สุพรรณบุรี,Jun,2566,99.7
นครปฐม,Jun,2566,100.2
สมุทรสาคร,Jun,2566,99.9
สมุทรสงคราม,Jun,2566,100.1
เพชรบุรี,Jun,2566,100.0
ประจวบคีรีขันธ์,Jun,2566,100.0
นครศรีธรรมราช,Jun,2566,99.9
กระบี่,Jun,2566,100.2
พังงา,Jun,2566,99.9
ภูเก็ต,Jun,2566,100.4
สุราษฎร์ธานี,Jun,2566,100.1
ระนอง,Jun,2566,100.2
ชุมพร,Jun,2566,100.2
สงขลา,Jun,2566,100.0
สตูล,Jun,2566,100.0
ตรัง,Jun,2566,100.0
พัทลุง,Jun,2566,100.0
ปัตตานี,Jun,2566,100.0
ยะลา,Jun,2566,100.2
นราธิวาส,Jun,2566,99.6
สมุทรปราการ,Jul,2566,100.2
นนทบุรี,Jul,2566,100.1
ปทุมธานี,Jul,2566,100.1
พระนครศรีอยุธยา,Jul,2566,100.0
อ่างทอง,Jul,2566,101.3
ลพบุรี,Jul,2566,99.8
สิงห์บุรี,Jul,2566,100.3
ชัยนาท,Jul,2566,100.8
สระบุรี,Jul,2566,100.2
ชลบุรี,Jul,2566,100.3
ระยอง,Jul,2566,100.0
จันทบุรี,Jul,2566,100.0
ตราด,Jul,2566,99.9
ฉะเชิงเทรา,Jul,2566,100.1
ปราจีนบุรี,Jul,2566,100.1
นครนายก,Jul,2566,100.0
สระแก้ว,Jul,2566,99.9
นครราชสีมา,Jul,2566,100.0
บุรีรัมย์,Jul,2566,99.8
สุรินทร์,Jul,2566,100.4
ศรีสะเกษ,Jul,2566,100.7
อุบลราชธานี,Jul,2566,100.1
ยโสธร,Jul,2566,100.1
ชัยภูมิ,Jul,2566,99.8
อำนาจเจริญ,Jul,2566,99.8
บึงกาฬ,Jul,2566,100.6
หนองบัวลำภู,Jul,2566,100.3
ขอนแก่น,Jul,2566,100.5
อุดรธานี,Jul,2566,100.0
เลย,Jul,2566,99.6
หนองคาย,Jul,2566,100.3
มหาสารคาม,Jul,2566,99.4
ร้อยเอ็ด,Jul,2566,100.0
กาฬสินธุ์,Jul,2566,99.8
สกลนคร,Jul,2566,100.6
นครพนม,Jul,2566,100.0
มุกดาหาร,Jul,2566,99.9
เชียงใหม่,Jul,2566,99.7
ลำพูน,Jul,2566,100.1
ลำปาง,Jul,2566,100.1
อุตรดิตถ์,Jul,2566,99.8
แพร่,Jul,2566,100.0
น่าน,Jul,2566,99.5
พะเยา,Jul,2566,99.1
เชียงราย,Jul,2566,99.6
แม่ฮ่องสอน,Jul,2566,99.8
นครสวรรค์,Jul,2566,100.0
อุทัยธานี,Jul,2566,100.0
กำแพงเพชร,Jul,2566,100.2
ตาก,Jul,2566,100.3
สุโขทัย,Jul,2566,99.9
พิษณุโลก,Jul,2566,100.1
พิจิตร,Jul,2566,100.4
เพชรบูรณ์,Jul,2566,99.8
ราชบุรี,Jul,2566,99.9
กาญจนบุรี,Jul,2566,99.8
สุพรรณบุรี,Jul,2566,99.5
นครปฐม,Jul,2566,100.2
สมุทรสาคร,Jul,2566,100.2
สมุทรสงคราม,Jul,2566,99.7
เพชรบุรี,Jul,2566,100.1
ประจวบคีรีขันธ์,Jul,2566,100.0
นครศรีธรรมราช,Jul,2566,100.1
กระบี่,Jul,2566,100.1
พังงา,Jul,2566,100.1
ภูเก็ต,Jul,2566,99.7
สุราษฎร์ธานี,Jul,2566,100.0
ระนอง,Jul,2566,100.3
ชุมพร,Jul,2566,100.1
สงขลา,Jul,2566,100.0
สตูล,Jul,2566,100.1
ตรัง,Jul,2566,100.0
พัทลุง,Jul,2566,100.2
ปัตตานี,Jul,2566,100.1
ยะลา,Jul,2566,100.2
นราธิวาส,Jul,2566,99.3
สมุทรปราการ,Aug,2566,100.6
นนทบุรี,Aug,2566,100.6
ปทุมธานี,Aug,2566,100.6
พระนครศรีอยุธยา,Aug,2566,100.6
อ่างทอง,Aug,2566,101.7
ลพบุรี,Aug,2566,100.4
สิงห์บุรี,Aug,2566,100.7
ชัยนาท,Aug,2566,100.7
สระบุรี,Aug,2566,100.6
ชลบุรี,Aug,2566,100.7
ระยอง,Aug,2566,100.6
จันทบุรี,Aug,2566,100.2
ตราด,Aug,2566,100.1
ฉะเชิงเทรา,Aug,2566,100.7
ปราจีนบุรี,Aug,2566,100.3
นครนายก,Aug,2566,100.4
สระแก้ว,Aug,2566,100.5
นครราชสีมา,Aug,2566,100.7
บุรีรัมย์,Aug,2566,100.9
สุรินทร์,Aug,2566,100.3
ศรีสะเกษ,Aug,2566,100.6
อุบลราชธานี,Aug,2566,100.8
ยโสธร,Aug,2566,101.1
ชัยภูมิ,Aug,2566,100.6
อำนาจเจริญ,Aug,2566,100.7
บึงกาฬ,Aug,2566,100.9
หนองบัวลำภู,Aug,2566,100.8
ขอนแก่น,Aug,2566,100.9
อุดรธานี,Aug,2566,100.6
เลย,Aug,2566,100.7
หนองคาย,Aug,2566,100.8
มหาสารคาม,Aug,2566,100.3
ร้อยเอ็ด,Aug,2566,100.7
กาฬสินธุ์,Aug,2566,101.0
สกลนคร,Aug,2566,101.0
นครพนม,Aug,2566,101.2
มุกดาหาร,Aug,2566,100.4
เชียงใหม่,Aug,2566,100.5
ลำพูน,Aug,2566,100.3
ลำปาง,Aug,2566,101.0
อุตรดิตถ์,Aug,2566,100.1
แพร่,Aug,2566,100.5
น่าน,Aug,2566,100.7
พะเยา,Aug,2566,100.9
เชียงราย,Aug,2566,100.2
แม่ฮ่องสอน,Aug,2566,100.5
นครสวรรค์,Aug,2566,100.7
อุทัยธานี,Aug,2566,100.6
กำแพงเพชร,Aug,2566,100.4
ตาก,Aug,2566,100.4
สุโขทัย,Aug,2566,100.2
พิษณุโลก,Aug,2566,100.6
พิจิตร,Aug,2566,100.8
เพชรบูรณ์,Aug,2566,100.3
ราชบุรี,Aug,2566,100.5
กาญจนบุรี,Aug,2566,100.8
สุพรรณบุรี,Aug,2566,100.4
นครปฐม,Aug,2566,100.6
สมุทรสาคร,Aug,2566,100.5
สมุทรสงคราม,Aug,2566,100.2
เพชรบุรี,Aug,2566,100.8
ประจวบคีรีขันธ์,Aug,2566,100.4
นครศรีธรรมราช,Aug,2566,100.5
กระบี่,Aug,2566,100.4
พังงา,Aug,2566,100.5
ภูเก็ต,Aug,2566,100.2
สุราษฎร์ธานี,Aug,2566,100.5
ระนอง,Aug,2566,100.2
ชุมพร,Aug,2566,100.2
สงขลา,Aug,2566,100.6
สตูล,Aug,2566,100.7
ตรัง,Aug,2566,100.3
พัทลุง,Aug,2566,100.6
ปัตตานี,Aug,2566,100.5
ยะลา,Aug,2566,100.6
นราธิวาส,Aug,2566,100.0
สมุทรปราการ,Sep,2566,100.3
นนทบุรี,Sep,2566,100.4
ปทุมธานี,Sep,2566,100.4
พระนครศรีอยุธยา,Sep,2566,100.3
อ่างทอง,Sep,2566,98.9
ลพบุรี,Sep,2566,100.2
สิงห์บุรี,Sep,2566,100.3
ชัยนาท,Sep,2566,100.2
สระบุรี,Sep,2566,100.0
ชลบุรี,Sep,2566,100.3
ระยอง,Sep,2566,100.2
จันทบุรี,Sep,2566,100.0
ตราด,Sep,2566,100.1
ฉะเชิงเทรา,Sep,2566,100.3
ปราจีนบุรี,Sep,2566,100.0
นครนายก,Sep,2566,99.9
สระแก้ว,Sep,2566,99.9
นครราชสีมา,Sep,2566,100.3
บุรีรัมย์,Sep,2566,100.2
สุรินทร์,Sep,2566,100.0
ศรีสะเกษ,Sep,2566,100.0
อุบลราชธานี,Sep,2566,100.4
ยโสธร,Sep,2566,101.3
ชัยภูมิ,Sep,2566,100.2
อำนาจเจริญ,Sep,2566,100.3
บึงกาฬ,Sep,2566,100.8
หนองบัวลำภู,Sep,2566,100.5
ขอนแก่น,Sep,2566,100.4
อุดรธานี,Sep,2566,100.0
เลย,Sep,2566,100.5
หนองคาย,Sep,2566,100.1
มหาสารคาม,Sep,2566,100.5
ร้อยเอ็ด,Sep,2566,100.2
กาฬสินธุ์,Sep,2566,100.4
สกลนคร,Sep,2566,100.5
นครพนม,Sep,2566,101.2
มุกดาหาร,Sep,2566,99.8
เชียงใหม่,Sep,2566,100.2
ลำพูน,Sep,2566,100.5
ลำปาง,Sep,2566,100.6
อุตรดิตถ์,Sep,2566,99.9
แพร่,Sep,2566,100.1
น่าน,Sep,2566,101.0
พะเยา,Sep,2566,101.1
เชียงราย,Sep,2566,99.9
แม่ฮ่องสอน,Sep,2566,100.3
นครสวรรค์,Sep,2566,100.0
อุทัยธานี,Sep,2566,99.9
กำแพงเพชร,Sep,2566,99.9
ตาก,Sep,2566,99.4
สุโขทัย,Sep,2566,99.8
พิษณุโลก,Sep,2566,100.3
พิจิตร,Sep,2566,99.9
เพชรบูรณ์,Sep,2566,99.7
ราชบุรี,Sep,2566,100.2
กาญจนบุรี,Sep,2566,100.4
สุพรรณบุรี,Sep,2566,100.0
นครปฐม,Sep,2566,100.5
สมุทรสาคร,Sep,2566,99.9
สมุทรสงคราม,Sep,2566,99.9
เพชรบุรี,Sep,2566,100.5
ประจวบคีรีขันธ์,Sep,2566,100.0
นครศรีธรรมราช,Sep,2566,100.3
กระบี่,Sep,2566,100.3
พังงา,Sep,2566,100.2
ภูเก็ต,Sep,2566,100.1
สุราษฎร์ธานี,Sep,2566,100.3
ระนอง,Sep,2566,99.9
ชุมพร,Sep,2566,100.1
สงขลา,Sep,2566,100.4
สตูล,Sep,2566,100.4
ตรัง,Sep,2566,100.3
พัทลุง,Sep,2566,100.6
ปัตตานี,Sep,2566,100.2
